fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.72816,0.0055,0.00666,0.82429,0.00056,1.93497,0.55052,8.62695,0.34889,1.15421,0.01415,0.78336,0.34806,0.0,0.09448,0.29729,0.0,0.0,0.0,0.35608,0.94271,0.0,0.0
0.72273,0.00617,0.00613,0.80513,0.00056,1.88052,0.52535,8.40262,0.37434,1.18532,0.01432,0.75177,0.37655,0.0,0.09203,0.29416,0.0,0.0,0.0,0.39214,0.91209,0.0,0.0
0.736,0.00621,0.00751,0.72396,0.00052,1.71292,0.54049,8.08907,0.37002,1.18532,0.01144,0.84321,0.28548,0.0,0.10768,0.34404,0.0,0.0,0.0,0.31425,0.86978,0.0,0.0
0.72015,0.00639,0.00476,0.7388,0.00071,2.02917,0.71985,10.24078,0.3493,1.26049,0.01017,0.60706,0.35536,0.0,0.09315,0.28675,0.0,0.0,0.0,0.28233,1.0,0.0,0.0
0.73076,0.00632,0.0056,0.78342,0.00053,1.74658,0.65014,9.30294,0.29637,1.41483,0.01028,0.68514,0.35545,0.0,0.09186,0.23022,0.0,0.0,0.0,0.34695,1.0,0.0,0.0
0.71354,0.00768,0.00547,0.80579,0.00064,1.79058,0.61904,8.64187,0.33274,1.14111,0.0122,0.68858,0.33283,0.0,0.06397,0.23989,0.0,0.0,0.0,0.40552,1.0,0.0,0.0
0.70264,0.00629,0.00763,0.72502,0.00055,1.76866,0.57602,8.08907,0.36753,1.24218,0.01136,0.84321,0.29191,0.0,0.10454,0.34076,0.0,0.0,0.0,0.31017,0.85967,0.0,0.0
0.7302,0.00606,0.00573,0.7949,0.00049,1.53697,0.41306,8.45512,0.39121,1.3402,0.01352,0.61548,0.57066,0.0,0.09335,0.27329,0.0,0.0,0.0,0.38751,0.90169,0.0,0.0
0.73085,0.00622,0.0063,0.81021,0.00056,1.84916,0.51165,8.41037,0.37752,1.19058,0.01455,0.75444,0.36893,0.0,0.09335,0.29729,0.0,0.0,0.0,0.39176,0.92436,0.0,0.0
0.73335,0.0066,0.00773,0.72843,0.00064,1.8395,0.65198,6.68523,0.38479,0.99887,0.01415,0.8478,0.29624,0.0,0.10328,0.25462,0.0,0.0,0.0,0.35641,0.94271,0.0,0.0
0.72708,0.00544,0.00487,0.76402,0.00058,1.74421,0.59835,8.68942,0.33962,1.3554,0.01147,0.7193,0.31596,0.0,0.09448,0.24382,0.0,0.0,0.0,0.32058,1.0,0.0,0.0
